Sample,,,,,,,leucine Results,phenylalanine Results,isoleucine Results,tryptophan Results,methionine Results,proline Results,valine Results,tyrosine Results,glucose Results,alanine Results,threonine Results,glutamine Results,glycine Results,asparagine Results,histidine Results,serine Results,glutamate Results,aspartate Results,lysine Results,arginine Results
,,Name,Data File,Type,Level,Acq. Date-Time,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.
!,!,OAA2_0_1_1,20151123_SJ_OAM1_6460_OAA2_0_1_1_HLPos_OAA2_0_1_1_CC_005.d,Cal,1,11/25/2015 3:52 PM,0.0000,824.0432,0.0000,1322.2043,0.0000,310.3318,0.0000,369.8904,4872.0872,268.5032,1676.4215,548.9233,0.0000,665.0389,0.0000,0.0000,687.6414,0.0000,2154.4756,199.0311
,!,OAA2_0_1_1,20151123_SJ_OAM1_6460_OAA2_0_1_1_HLPos_OAA2_0_1_1_CC_010.d,Cal,1,11/25/2015 7:16 PM,0.0000,2352.8548,1409.8983,2580.0150,748.0494,2201.3145,1548.8944,450.0663,5313.3749,1777.6403,2664.5760,2767.9435,1375.6734,2291.8538,0.0000,1750.2015,2075.4223,1398.7182,3150.6366,3740.1343
!,!,OAA2_0_1_1,20151123_SJ_OAM1_6460_OAA2_0_1_1_HLPos_OAA2_0_1_1_CC_015.d,Cal,1,11/25/2015 10:39 PM,0.0000,344.0228,0.0000,764.4627,0.0000,0.0000,0.0000,346.6254,5150.5125,0.0000,1417.2601,0.0000,0.0000,193.8341,0.0000,0.0000,294.1034,0.0000,1871.0970,0.0000
!,!,OAA2_0_1_2,20151123_SJ_OAM1_6460_OAA2_0_1_2_HLPos_OAA2_0_1_2_CC_020.d,Cal,1,11/27/2015 11:58 AM,0.0000,337.7311,0.0000,727.8497,0.0000,0.0000,0.0000,347.0380,4816.1542,0.0000,1413.5454,0.0000,0.0000,183.6876,0.0000,0.0000,269.4828,0.0000,1870.4707,0.0000
!,!,OAA2_0_1_2,20151123_SJ_OAM1_6460_OAA2_0_1_2_HLPos_OAA2_0_1_2_CC_025.d,Cal,1,11/27/2015 3:22 PM,0.0000,331.5578,0.0000,742.3146,0.0000,0.0000,0.0000,346.1562,5164.3576,0.0000,1406.6445,0.0000,0.0000,178.8607,,0.0000,284.0404,0.0000,1861.9269,0.0000
!,!,OAA2_0_1_2,20151123_SJ_OAM1_6460_OAA2_0_1_2_HLPos_OAA2_0_1_2_CC_030.d,Cal,1,11/27/2015 6:45 PM,0.0000,338.1572,0.0000,678.4988,0.0000,0.0000,0.0000,345.0764,5047.1491,0.0000,1409.4668,0.0000,0.0000,180.5208,0.0000,0.0000,270.5296,0.0000,1861.7880,0.0000
!,!,3B10-C-t9-d1,20151123_SJ_OAM1_6460_3B10-C-t9-d1_HLPos_3B10-C-t9-d1_007.d,Sample,,11/23/2015 7:32 PM,0.0000,56280.8333,0.0000,23211.8240,71226.7137,0.0000,0.0000,397.8059,13711.9098,279.8392,1366.8969,277.6887,0.0000,109.6591,0.0000,0.0000,1299.6330,0.0000,1835.4878,0.0000
!,!,3B10-B-t10-d1,20151123_SJ_OAM1_6460_3B10-B-t10-d1_HLPos_3B10-B-t10-d1_008.d,Sample,,11/23/2015 8:13 PM,0.0000,46878.3265,0.0000,17636.7773,62177.8586,0.0000,0.0000,365.9720,12572.9792,0.0000,1358.8798,0.0000,0.0000,99.2170,0.0000,0.0000,1182.3195,0.0000,1832.0150,0.0000
!,!,3B10-C-t6-d1,20151123_SJ_OAM1_6460_3B10-C-t6-d1_HLPos_3B10-C-t6-d1_009.d,Sample,,11/23/2015 8:53 PM,0.0000,78317.2561,0.0000,55360.8341,59177.8934,55930.7651,2278.5746,1683.1543,14453.8410,2033.7007,1362.4676,25.0984,99912.7646,104.9533,0.0000,0.0000,1106.9860,0.0000,73562.4262,0.0000
!,!,9B05-B-t9-d1,20151123_SJ_OAM1_6460_9B05-B-t9-d1_HLPos_9B05-B-t9-d1_010.d,Sample,,11/23/2015 9:34 PM,14781.5812,252.3252,10611.3895,43888.6691,42643.0549,0.0000,28387.8766,380.0319,6560.8813,0.0000,22438.8947,0.0000,0.0000,88.0410,0.0000,0.0000,534.3928,0.0000,1901.3995,0.0000
,!,medB-x-t0-x,20151123_SJ_OAM1_6460_medB-x-t0-x_HLPos_medB-x-t0-x_011.d,Sample,,11/23/2015 10:15 PM,67466.0547,92484.4058,87925.3982,90170.0788,77987.1728,89851.2483,89804.5695,10204.3250,126341.6585,87104.7411,86045.8244,83077.4677,81681.4503,71461.6051,108273.2063,85205.5141,75638.8602,51925.0718,96566.6779,85159.6529
!,!,9B05-B-t10-d1,20151123_SJ_OAM1_6460_9B05-B-t10-d1_HLPos_9B05-B-t10-d1_012.d,Sample,,11/23/2015 10:55 PM,0.0000,236.2711,0.0000,39724.0566,37363.3378,0.0000,8132.7779,357.8847,5853.3634,0.0000,13186.6142,0.0000,0.0000,92.4498,0.0000,0.0000,289.1326,0.0000,1878.7725,0.0000
,!,L13-B-t5-d1,20151123_SJ_OAM1_6460_L13-B-t5-d1_HLPos_L13-B-t5-d1_013.d,Sample,,11/23/2015 11:36 PM,78542.3942,75521.5699,87517.2697,74845.5727,79773.5749,62793.4789,84181.4671,9023.6982,78608.4350,67169.8290,79521.3716,23549.5210,118275.8935,24913.8073,79982.4285,81904.7710,68123.7570,62922.8303,88715.4964,71805.3165
!,!,L13-B-t2-d1,20151123_SJ_OAM1_6460_L13-B-t2-d1_HLPos_L13-B-t2-d1_014.d,Sample,,11/24/2015 12:17 AM,69927.4051,88854.9731,90089.6398,87947.8884,83475.1320,81194.6801,90238.0218,9724.3196,97068.3080,87072.5248,92504.7993,89416.6158,88720.2656,91655.3336,92124.9508,98525.9035,92381.5585,101003.7307,99477.9851,91484.3341
!,!,3B10-B-t7-d1,20151123_SJ_OAM1_6460_3B10-B-t7-d1_HLPos_3B10-B-t7-d1_015.d,Sample,,11/24/2015 12:58 AM,0.0000,72625.6697,0.0000,54002.5681,71142.6699,40713.4051,0.0000,403.9688,17508.5560,1485.3229,1359.6536,115.4333,25179.0109,126.0649,,0.0000,1901.3296,0.0000,83444.3578,723.9261
!,!,9B05-A-t6-d2,20151123_SJ_OAM1_6460_9B05-A-t6-d2_HLPos_9B05-A-t6-d2_016.d,Sample,,11/24/2015 1:38 AM,67541.6222,66156.9660,80884.9153,80970.0845,77187.9190,38572.6255,81607.4655,9236.1924,11118.6398,18572.7975,77314.7825,65.3050,117874.6242,255.4966,0.0000,4159.4268,3174.0931,0.0000,91785.1044,33860.9539
!,!,H2O-x-t0-x,20151123_SJ_OAM1_6460_H2O-x-t0-x_HLPos_H2O-x-t0-x_017.d,Sample,,11/24/2015 2:19 AM,0.0000,267.6278,,635.7366,0.0000,0.0000,0.0000,350.1292,20721.7590,0.0000,1355.9879,0.0000,0.0000,92.6183,0.0000,0.0000,209.0957,0.0000,1906.1504,0.0000
!,!,L13-B-t8-d1,20151123_SJ_OAM1_6460_L13-B-t8-d1_HLPos_L13-B-t8-d1_018.d,Sample,,11/24/2015 3:00 AM,47286.9353,239.0256,35509.9318,26554.2424,58017.9108,0.0000,47235.9754,496.2562,6327.6994,212.8862,34010.6979,0.0000,75585.6944,92.5114,0.0000,0.0000,1119.5002,0.0000,3333.5595,0.0000
!,!,9B05-A-t10-d2,20151123_SJ_OAM1_6460_9B05-A-t10-d2_HLPos_9B05-A-t10-d2_019.d,Sample,,11/24/2015 3:40 AM,0.0000,234.3287,10.2187,37706.9270,37633.5567,0.0000,8647.1316,355.7919,6685.8193,0.0000,13257.2258,0.0000,0.0000,91.3147,0.0000,0.0000,281.9969,0.0000,1846.3984,0.0000
!,!,medB-x-t26-x,20151123_SJ_OAM1_6460_medB-x-t26-x_HLPos_medB-x-t26-x_020.d,Sample,,11/24/2015 4:21 AM,73702.9701,99016.9335,101407.3873,99522.4777,86460.3826,88697.5556,98051.3583,11656.1789,121028.3877,95763.0710,95037.1276,100901.5410,94605.1294,107628.0773,86026.1697,107796.2871,100234.1430,85270.9603,108495.9202,99578.1522
!,!,L13-C-t6-d1,20151123_SJ_OAM1_6460_L13-C-t6-d1_HLPos_L13-C-t6-d1_021.d,Sample,,11/24/2015 5:02 AM,61014.8342,67445.8111,71381.3287,67880.4805,82731.3756,36153.9514,84255.1728,9362.0402,65037.1889,32534.2577,73002.3037,299.6483,130650.3535,575.0585,41733.4807,55329.3739,18458.1427,10603.3186,79581.6598,55088.1258
,!,9B05-A-t7-d2,20151123_SJ_OAM1_6460_9B05-A-t7-d2_HLPos_9B05-A-t7-d2_022.d,Sample,,11/24/2015 5:42 AM,54483.3587,21787.5182,45057.1419,63634.0188,63155.1953,0.0000,63761.2940,6293.7394,10115.6173,72.4601,49640.2345,0.0000,65960.9044,95.9034,0.0000,89.8116,2068.1770,0.0000,49005.5331,121.2036
,!,9B05-A-t26-d1,20151123_SJ_OAM1_6460_9B05-A-t26-d1_HLPos_9B05-A-t26-d1_023.d,Sample,,11/24/2015 6:23 AM,0.0000,346.4037,0.0000,34455.0427,32329.2643,0.0000,0.0000,389.5736,7025.7395,0.0000,1376.7633,0.0000,0.0000,96.0609,0.0000,0.0000,202.8290,0.0000,1911.5418,0.0000
,!,L13-B-t7-d1,20151123_SJ_OAM1_6460_L13-B-t7-d1_HLPos_L13-B-t7-d1_024.d,Sample,,11/24/2015 7:04 AM,64520.3781,38386.8471,64853.9633,62067.8668,78817.0378,0.0000,74452.7658,8359.7944,33922.5253,485.1888,59821.6054,0.0000,108673.3796,91.8862,779.5728,6438.0008,1745.8033,0.0000,73172.2215,0.0000
,!,3B10-B-t6-d1,20151123_SJ_OAM1_6460_3B10-B-t6-d1_HLPos_3B10-B-t6-d1_025.d,Sample,,11/24/2015 7:45 AM,0.0000,72183.7308,0.0000,66039.8487,70178.6550,54600.3276,848.0792,1669.4544,12788.4979,1931.9297,1364.5741,0.0000,107410.5550,109.4624,0.0000,49.7254,1487.1291,0.0000,87911.6206,0.0000
!,!,9B05-C-t9-d1,20151123_SJ_OAM1_6460_9B05-C-t9-d1_HLPos_9B05-C-t9-d1_027.d,Sample,,11/24/2015 9:06 AM,13441.8803,245.1420,11096.4560,45319.9488,46116.8589,0.0000,30386.9672,381.2632,6788.5845,0.0000,24768.2523,0.0000,0.0000,92.8608,0.0000,0.0000,578.2995,0.0000,1867.7366,0.0000
!,!,3B10-A-t10-d2,20151123_SJ_OAM1_6460_3B10-A-t10-d2_HLPos_3B10-A-t10-d2_028.d,Sample,,11/24/2015 9:47 AM,0.0000,46124.8410,0.0000,22089.8293,68473.6400,0.0000,0.0000,421.2307,11135.0183,43.1356,1385.4976,77.0386,0.0000,105.3290,0.0000,0.0000,1347.9452,0.0000,1905.3587,0.0000
!,!,H2O-x-t0-x,20151123_SJ_OAM1_6460_H2O-x-t0-x_HLPos_H2O-x-t0-x_029.d,Sample,,11/24/2015 10:27 AM,0.0000,269.6659,0.0000,641.5413,0.0000,0.0000,0.0000,351.3558,17751.8378,0.0000,1358.5071,0.0000,0.0000,90.5254,0.0000,0.0000,208.4066,0.0000,1832.0474,0.0000
,!,3B10-B-t26-d1,20151123_SJ_OAM1_6460_3B10-B-t26-d1_HLPos_3B10-B-t26-d1_030.d,Sample,,11/24/2015 11:08 AM,0.0000,24046.9552,0.0000,860.7379,23421.7572,18.8885,0.0000,1698.5387,10303.7346,575.3804,1423.8116,1296.8211,0.0000,239.1901,0.0000,0.0000,6272.2586,8.3509,4143.2999,0.0000
,!,9B05-C-t2-d1,20151123_SJ_OAM1_6460_9B05-C-t2-d1_HLPos_9B05-C-t2-d1_031.d,Sample,,11/24/2015 11:49 AM,97018.7907,94912.4531,88646.7310,97556.7479,96458.0276,86935.7922,97913.9986,8460.8643,86808.7911,93529.0955,90672.3852,85360.3552,97039.1235,87524.9436,104692.6586,92094.0368,92855.1463,87783.4286,92076.6774,92202.4286
!,!,9B05-C-t12-d1,20151123_SJ_OAM1_6460_9B05-C-t12-d1_HLPos_9B05-C-t12-d1_032.d,Sample,,11/24/2015 12:29 PM,0.0000,236.2704,0.0000,37533.7667,35830.7267,0.0000,8091.6136,357.7632,6272.1460,0.0000,12811.0398,0.0000,0.0000,92.1624,0.0000,0.0000,273.8038,0.0000,1874.5497,0.0000
,!,medB-x-t0-x,20151123_SJ_OAM1_6460_medB-x-t0-x_HLPos_medB-x-t0-x_033.d,Sample,,11/24/2015 1:10 PM,74342.2643,94762.5203,90563.4221,97262.4537,90344.6082,85371.6008,94172.5420,9836.1183,104652.5248,92627.7349,87434.9819,96106.8967,85241.2474,88768.2354,82270.9455,89688.9083,95270.3137,86397.0277,88313.0707,92316.9500
!,!,L13-B-t0-d1,20151123_SJ_OAM1_6460_L13-B-t0-d1_HLPos_L13-B-t0-d1_034.d,Sample,,11/24/2015 1:51 PM,71511.1021,89655.8453,87033.4600,92873.4175,85730.0706,81086.5683,89395.7299,9186.4411,109509.7443,88075.6170,85778.7153,95653.3017,86601.7102,93832.2991,77095.3892,93479.1913,97834.9432,86167.9140,88882.4554,89579.6128
,!,9B05-B-t3-d1,20151123_SJ_OAM1_6460_9B05-B-t3-d1_HLPos_9B05-B-t3-d1_035.d,Sample,,11/24/2015 2:32 PM,90936.9926,94124.2449,98806.9777,95578.0352,93513.4728,84879.9373,95548.1393,8743.3628,84524.2614,89992.3362,90256.7925,80517.8680,97475.2619,84460.2885,86321.8019,89320.4596,92465.1317,83205.9483,83136.3914,87340.9148
